name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
malate-2,NA,C4H4O5-2,aq,DS09,NA,30.Jun.10,-201506,NA,30.31,-49.98,55.7,10.3188,16.0191,2.4821,-3.4426,-15.0136,-4.7137,2.7969,-2
"fumaric acid",NA,C4H4O4,aq,DS09,NA,30.Jun.10,-154350,NA,62.4,36.97,78.8,12.6212,21.4233,9.5284,-3.666,14.0502,10.2418,-0.2286,0
H-fumarate,NA,C4H3O4-,aq,DS09,NA,30.Jun.10,-150120,NA,48.59,-7.6,65.4,11.012,17.646,2.0079,-3.5098,9.1659,-4.2001,0.8937,-1
fumarate-2,NA,C4H2O4-2,aq,DS09,NA,30.Jun.10,-143858,NA,25.19,-67.42,51.7,9.7988,14.7985,2.8377,-3.3921,-31.3293,-4.9252,2.8324,-2
"a-ketoglutaric acid",NA,C5H6O5,aq,DS09,NA,30.Jun.10,-201315,NA,75.31,41.44,89,13.963,22.0282,5.7667,-3.691,18.8537,10.7384,-0.0839,0
H-a-ketoglutarate,NA,C5H5O5-,aq,DS09,NA,30.Jun.10,-198231,NA,58.2,-3.13,75.6,12.3535,20.7952,1.0903,-3.64,12.1953,-4.1458,0.6982,-1
a-ketoglutarate-2,NA,C5H4O5-2,aq,DS09,NA,30.Jun.10,-191683,NA,32.5,-62.95,61.9,11.1522,17.9751,1.912,-3.5234,-27.9773,-4.8709,2.6719,-2
"citric acid",NA,C6H8O7,aq,DS09,NA,30.Jun.10,-297180,NA,78.73,77.08,113.6,17.3131,29.2727,9.5366,-3.9905,46.7151,14.6883,-0.0558,0
H2-citrate,NA,C6H7O7-,aq,DS09,NA,30.Jun.10,-293093,NA,68.4,44.91,98.1,15.3786,27.8965,-0.979,-3.9336,57.6138,-3.5638,0.5938,-1
H-citrate-2,NA,C6H6O7-2,aq,DS09,NA,30.Jun.10,-286616,NA,48.35,0.2,88.5,14.7041,26.3129,-0.5174,-3.8681,31.407,-4.1055,2.4817,-2
citrate-3,NA,C6H5O7-3,aq,DS09,NA,30.Jun.10,-277892,NA,22.01,-60.9,72,13.1248,22.6059,0.5629,-3.7148,-9.7775,-4.8461,4.4801,-3
"succinyl thioester",NA,C6H10O3S,aq,DS09,NA,30.Jun.10,-118690,NA,94.29,51.65,140.5,20.9773,37.1962,27.6083,-4.318,27.2302,11.8701,-0.0331,0
"succinyl thioester-1",NA,C6H9O3S-,aq,DS09,NA,30.Jun.10,-112070,NA,69.79,18.64,133.7,20.2297,39.2837,-4.2971,-4.4043,31.8088,-3.882,0.4476,-1
"acetyl thioester",NA,C4H8OS,aq,DS09,NA,30.Jun.10,-33485,NA,95.63,61.07,107.3,16.5664,24.6312,8.8162,-3.7986,40.8944,8.1836,-0.3839,0
methionine,Met,C5H11NO2S,aq,AH97b,DLH06,25.Aug.06,-120120,-178520,62.36,70.7,105.4,24.95,6.9,13.59,-7.77,85.3,-6.6,0.13,0
[Met],NA,C3H7S,aq,DLH06,NA,25.Aug.06,-35245,-59310,40.38,72.739,71.832,15.48,8.76,10.82,-6,63.7,4,-0.1,0
LiCrO4-,NA,LiCrO4-,aq,AML10,NA,03.Jul.10,-246189,-276987,23.021,-1.86,25.17,5.6394,5.9909,2.9644,-3.0267,16.8298,-3.4143,1.2728,-1
NaCrO4-,NA,NaCrO4-,aq,AML10,NA,03.Jul.10,-239025,-266828,38.364,-3.93,24.95,5.5308,5.7256,3.0783,-3.0157,13.4846,-3.8343,1.0404,-1
KCrO4-,NA,KCrO4-,aq,AML10,NA,03.Jul.10,-243870,-269706,48.161,-16.63,33.98,6.7157,8.6197,1.8358,-3.1354,4.6973,-6.4214,0.8921,-1
NH4CrO4-,NA,NH4CrO4-,aq,AML10,NA,03.Jul.10,-195220,-241227,50.414,1.05,43.22,7.9692,11.6814,0.5212,-3.2619,14.7104,-2.8209,0.858,-1
BeCrO4,NA,BeCrO4,aq,AML10,NA,03.Jul.10,-268795,-304575,-14.001,-27.06,7.24,2.7431,-1.0832,6.0017,-2.7343,-9.9664,-8.5462,-0.038,0
MgCrO4,NA,MgCrO4,aq,AML10,NA,03.Jul.10,-286677,-324405,-14.995,-26.44,6.66,2.6638,-1.277,6.0849,-2.7263,-9.6061,-8.4206,-0.038,0
CaCrO4,NA,CaCrO4,aq,AML10,NA,03.Jul.10,-310665,-342487,6.948,-30.19,10.48,3.1862,-0.0009,5.537,-2.779,-11.7978,-9.1847,-0.038,0
SrCrO4,NA,SrCrO4,aq,AML10,NA,03.Jul.10,-313068,-343782,13.152,-32.76,10.36,3.1693,-0.0424,5.5548,-2.7773,-13.2959,-9.707,-0.038,0
BaCrO4,NA,BaCrO4,aq,AML10,NA,03.Jul.10,-312583,-340842,24.015,-35.77,14.65,3.7566,1.3921,4.9389,-2.8366,-15.0586,-10.3215,-0.038,0
RaCrO4,NA,RaCrO4,aq,AML10,NA,03.Jul.10,-313122,-338458,35.729,-38.45,14.92,3.7932,1.4816,4.9005,-2.8403,-16.6254,-10.8678,-0.038,0
MnCrO4,NA,MnCrO4,aq,AML10,NA,03.Jul.10,-233415,-265560,3.57,-24.78,10.63,3.2071,0.0501,5.5151,-2.7811,-8.6346,-8.0819,-0.038,0
FeCrO4,NA,FeCrO4,aq,AML10,NA,03.Jul.10,-200157,-234966,-6.486,-29.87,6.08,2.5844,-1.4709,6.1681,-2.7182,-11.6116,-9.1198,-0.038,0
CoCrO4,NA,CoCrO4,aq,AML10,NA,03.Jul.10,-191358,-226919,-8.365,-29.74,3.14,2.1815,-2.4551,6.5907,-2.6776,-11.5332,-9.0925,-0.038,0
NiCrO4,NA,NiCrO4,aq,AML10,NA,03.Jul.10,-189183,-225989,-12.564,-34.97,0.01,1.7541,-3.4989,7.0388,-2.6344,-14.5885,-10.1577,-0.038,0
CuCrO4,NA,CuCrO4,aq,AML10,NA,03.Jul.10,-162642,-197176,-4.165,-26.92,3.94,2.2914,-2.1867,6.4754,-2.6886,-9.8881,-8.5189,-0.038,0
ZnCrO4,NA,ZnCrO4,aq,AML10,NA,03.Jul.10,-213547,-249673,-7.481,-26.43,4.21,2.328,-2.0972,6.437,-2.6923,-9.5982,-8.4179,-0.038,0
RuCrO4,NA,RuCrO4,aq,AML10,NA,03.Jul.10,-142476,-177806,-7.923,-30.81,4.03,2.3036,-2.1568,6.4626,-2.6899,-12.16,-9.311,-0.038,0
CdCrO4,NA,CdCrO4,aq,AML10,NA,03.Jul.10,-196911,-230863,2.244,-23.97,11.97,3.3903,0.4974,5.323,-2.7996,-8.1646,-7.9181,-0.038,0
PbCrO4,NA,PbCrO4,aq,AML10,NA,03.Jul.10,-184568,-212329,26.114,-36.31,11.97,3.3903,0.4974,5.323,-2.7996,-15.3719,-10.4308,-0.038,0
LaCrO4+,NA,LaCrO4+,aq,AML10,NA,03.Jul.10,-344130,-385189,-35.992,-69.16,-8.55,0.9628,-5.4316,7.8686,-2.5545,-24.183,-17.1222,1.089,1
CeCrO4+,NA,CeCrO4+,aq,AML10,NA,03.Jul.10,-341688,-382654,-32.677,-83.24,-13.46,0.2743,-7.1134,8.5907,-2.485,-32.8713,-19.99,1.0388,1
PrCrO4+,NA,PrCrO4+,aq,AML10,NA,03.Jul.10,-342693,-384306,-33.782,-73.32,-12.3,0.4387,-6.7119,8.4183,-2.5016,-26.9199,-17.9689,1.0555,1
NdCrO4+,NA,NdCrO4+,aq,AML10,NA,03.Jul.10,-340676,-381922,-33.229,-77.2,-12.57,0.3992,-6.8082,8.4597,-2.4976,-29.2689,-18.761,1.0471,1
SmCrO4+,NA,SmCrO4+,aq,AML10,NA,03.Jul.10,-339211,-380739,-34.556,-77.34,-11.59,0.5403,-6.4636,8.3117,-2.5118,-29.1623,-18.7883,1.0672,1
EuCrO4+,NA,EuCrO4+,aq,AML10,NA,03.Jul.10,-317448,-360327,-37.097,-68.35,-10.96,0.6388,-6.2231,8.2084,-2.5218,-23.5588,-16.9584,1.1057,1
GdCrO4+,NA,GdCrO4+,aq,AML10,NA,03.Jul.10,-338700,-379660,-32.898,-67.42,-10.16,0.7272,-6.0071,8.1157,-2.5307,-23.5963,-16.7672,1.0421,1
TbCrO4+,NA,TbCrO4+,aq,AML10,NA,03.Jul.10,-339506,-382393,-38.202,-67.28,-10.6,0.6933,-6.09,8.1513,-2.5273,-22.7779,-16.7399,1.1224,1
DyCrO4+,NA,DyCrO4+,aq,AML10,NA,03.Jul.10,-338743,-382138,-39.529,-61.78,-10.43,0.7245,-6.0137,8.1186,-2.5304,-19.381,-15.6201,1.1425,1
HoCrO4+,NA,HoCrO4+,aq,AML10,NA,03.Jul.10,-341359,-384467,-38.534,-63.93,-11.23,0.6095,-6.2946,8.2391,-2.5188,-20.7732,-16.0571,1.1274,1
ErCrO4+,NA,ErCrO4+,aq,AML10,NA,03.Jul.10,-339868,-384163,-42.954,-65.27,-12.48,0.4612,-6.6568,8.3947,-2.5039,-20.9399,-16.3302,1.1944,1
TmCrO4+,NA,TmCrO4+,aq,AML10,NA,03.Jul.10,-339708,-383997,-42.733,-65.27,-12.48,0.4601,-6.6596,8.3959,-2.5037,-20.9708,-16.3302,1.191,1
YbCrO4+,NA,YbCrO4+,aq,AML10,NA,03.Jul.10,-332935,-375817,-41.407,-68.09,-13.82,0.2701,-7.1235,8.595,-2.4846,-22.8009,-16.9037,1.1709,1
LuCrO4+,NA,LuCrO4+,aq,AML10,NA,03.Jul.10,-339338,-383631,-48.259,-62.19,-14.26,0.2441,-7.187,8.6223,-2.4819,-18.3981,-15.702,1.2747,1
AlCrO4+,NA,AlCrO4+,aq,AML10,NA,03.Jul.10,-300277,-329255,-2.31,-22.05,-0.42,1.9032,-3.1348,6.8825,-2.6495,-1.3566,-7.5261,0.5789,1
GaCrO4+,NA,GaCrO4+,aq,AML10,NA,03.Jul.10,-221635,-251972,-3.871,-4.38,3.45,2.4412,-1.8206,6.3182,-2.7038,9.1844,-3.9271,0.6026,1
InCrO4+,NA,InCrO4+,aq,AML10,NA,03.Jul.10,-207404,-233224,15.343,27.72,8.42,3.0225,-0.4009,5.7087,-2.7625,25.2579,2.6111,0.3116,1
ScCrO4+,NA,ScCrO4+,aq,AML10,NA,03.Jul.10,-325568,-349019,17.745,33.02,9.41,3.1461,-0.099,5.5791,-2.775,28.0199,3.6908,0.2753,1
VCrO4+,NA,VCrO4+,aq,AML10,NA,03.Jul.10,-242299,-263194,24.951,48.92,12.39,3.517,0.8068,5.1902,-2.8124,36.3056,6.9299,0.1662,1
FeCrO4+,NA,FeCrO4+,aq,AML10,NA,03.Jul.10,-189696,-214281,12.187,17.42,7.15,2.8649,-0.7859,5.874,-2.7466,19.6809,0.5132,0.3594,1
YCrO4+,NA,YCrO4+,aq,AML10,NA,03.Jul.10,-348302,-372092,18.946,35.67,9.91,3.2079,0.052,5.5143,-2.7812,29.4008,4.2306,0.2571,1
ZrCrO4+2,NA,ZrCrO4+2,aq,AML10,NA,03.Jul.10,-318046,-354803,-41.459,64.52,-10.25,0.758,-5.9319,8.0834,-2.5338,54.6888,10.109,1.1717,1
RuCrO4+2,NA,RuCrO4+2,aq,AML10,NA,03.Jul.10,-141077,-167607,5.976,6.81,4.55,2.5404,-1.5785,6.2143,-2.7138,14.3488,-1.6477,0.4535,2
ThCrO4+2,NA,ThCrO4+2,aq,AML10,NA,03.Jul.10,-355180,-388722,-27.615,85.52,-8.88,1.059,-5.1967,7.7678,-2.5642,70.0375,14.3862,1.5061,2
NpCrO4+2,NA,NpCrO4+2,aq,AML10,NA,03.Jul.10,-308402,-340807,-24.124,69.28,-8.1,1.1484,-4.9783,7.674,-2.5732,60.0623,11.0783,1.4532,2
AmCrO4+2,NA,AmCrO4+2,aq,AML10,NA,03.Jul.10,-327893,-348491,32.276,-31.77,3.75,2.297,-2.1728,6.4695,-2.6892,-11.8592,-9.5056,0.0552,2
CdCl+,NA,CdCl+,aq,BZA10,NA,03.Jul.10,-52629,NA,7.06,11.12,2.2,2.2303,-2.3357,6.6681,-2.6824,16.6723,-0.7693,0.4372,1
CdCl2,NA,CdCl2,aq,BZA10,NA,03.Jul.10,-84883,NA,25.72,116.01,42.21,7.5221,10.5852,1.5895,-3.2166,73.7023,20.5956,-0.0495,0
CdCl3-,NA,CdCl3-,aq,BZA10,NA,03.Jul.10,-115399,NA,45.15,97.78,63.47,10.8045,18.5994,-1.5605,-3.5479,72.0244,16.8832,0.9378,-1
CdCl4-2,NA,CdCl4-2,aq,BZA10,NA,03.Jul.10,-145583,NA,50.61,42.52,81.35,13.8329,25.9938,-4.4669,-3.8536,53.6766,5.6267,2.4766,-2
LaF+2,NA,LaF+2,aq,MWW09,NA,03.Jul.10,-236290,NA,-28.9,38.62,-36.67,-2.6763,-14.316,11.377,-2.1872,42.7211,4.8321,1.5259,2
CeF+2,NA,CeF+2,aq,MWW09,NA,03.Jul.10,-234190,NA,-24.92,25.38,-42.85,-3.5448,-16.4364,12.2104,-2.0995,34.4101,2.1345,1.4656,2
PrF+2,NA,PrF+2,aq,MWW09,NA,03.Jul.10,-235200,NA,-25.4,21.48,-40.63,-3.2382,-15.6879,11.9162,-2.1305,32.1968,1.3417,1.473,2
NdF+2,NA,NdF+2,aq,MWW09,NA,03.Jul.10,-233150,NA,-26.48,24.73,-41.72,-3.3812,-16.0371,12.0534,-2.116,34.2449,2.0023,1.4892,2
SmF+2,NA,SmF+2,aq,MWW09,NA,03.Jul.10,-232090,NA,-27.08,-5.4,-40.5,-3.2108,-15.621,11.8899,-2.1332,16.6719,-4.1344,1.4983,2
EuF+2,NA,EuF+2,aq,MWW09,NA,03.Jul.10,-210450,NA,-28.85,-11.08,-39.73,-3.0953,-15.339,11.7791,-2.1449,13.5854,-5.2922,1.5251,2
GdF+2,NA,GdF+2,aq,MWW09,NA,03.Jul.10,-231710,NA,-25.91,-11.83,-38.73,-2.9753,-15.046,11.6639,-2.157,12.7413,-5.4446,1.4806,2
TbF+2,NA,TbF+2,aq,MWW09,NA,03.Jul.10,-232790,NA,-30.21,-21.45,-38.53,-2.9233,-14.919,11.614,-2.1622,7.7005,-7.4034,1.5458,2
DyF+2,NA,DyF+2,aq,MWW09,NA,03.Jul.10,-232030,NA,-29.52,-27.14,-39.08,-3.0025,-15.1125,11.69,-2.1543,4.2664,-8.5636,1.5353,2
HoF+2,NA,HoF+2,aq,MWW09,NA,03.Jul.10,-234580,NA,-28.53,-22.87,-40.09,-3.1464,-15.4638,11.8281,-2.1397,6.6315,-7.6938,1.5203,2
ErF+2,NA,ErF+2,aq,MWW09,NA,03.Jul.10,-233060,NA,-32.54,-26.35,-41.66,-3.3383,-15.9323,12.0123,-2.1204,5.1506,-8.4013,1.581,2
TmF+2,NA,TmF+2,aq,MWW09,NA,03.Jul.10,-233080,NA,-31.84,-30.14,-41.66,-3.3423,-15.942,12.0161,-2.12,2.8337,-9.1731,1.5705,2
YbF+2,NA,YbF+2,aq,MWW09,NA,03.Jul.10,-226300,NA,-30.41,-36.41,-43.34,-3.5804,-16.5233,12.2446,-2.0959,-1.0405,-10.4509,1.5488,2
LuF+2,NA,LuF+2,aq,MWW09,NA,03.Jul.10,-232530,NA,-36.16,-32.88,-43.9,-3.6241,-16.6301,12.2865,-2.0915,1.8202,-9.7329,1.6359,2
LaCl+2,NA,LaCl+2,aq,MWW09,NA,03.Jul.10,-196390,NA,-47.06,94.49,-17.46,0.0563,-7.6438,8.7545,-2.463,77.9764,16.2138,1.8009,2
CeCl+2,NA,CeCl+2,aq,MWW09,NA,03.Jul.10,-193910,NA,-46.15,111.04,-23.65,-0.796,-9.7248,9.5724,-2.377,87.5448,19.5834,1.7871,2
PrCl+2,NA,PrCl+2,aq,MWW09,NA,03.Jul.10,-194950,NA,-54.19,148.14,-21.42,-0.4448,-8.8673,9.2354,-2.4124,110.4007,27.1413,1.9089,2
NdCl+2,NA,NdCl+2,aq,MWW09,NA,03.Jul.10,-192950,NA,-51.92,122.49,-22.51,-0.607,-9.2633,9.391,-2.3961,95.0531,21.916,1.8745,2
SmCl+2,NA,SmCl+2,aq,MWW09,NA,03.Jul.10,-191390,NA,-44.42,76.88,-21.3,-0.4843,-8.9637,9.2732,-2.4084,67.2886,12.6257,1.761,2
EuCl+2,NA,EuCl+2,aq,MWW09,NA,03.Jul.10,-169620,NA,-42.31,55.98,-20.52,-0.3896,-8.7326,9.1824,-2.418,54.746,8.3675,1.729,2
GdCl+2,NA,GdCl+2,aq,MWW09,NA,03.Jul.10,-190950,NA,-34.69,31.25,-19.52,-0.2964,-8.505,9.0929,-2.4274,39.2045,3.3318,1.6136,2
TbCl+2,NA,TbCl+2,aq,MWW09,NA,03.Jul.10,-191790,NA,-38.16,26.39,-19.33,-0.2506,-8.3931,9.0489,-2.432,36.8323,2.3408,1.6661,2
DyCl+2,NA,DyCl+2,aq,MWW09,NA,03.Jul.10,-191030,NA,-40.82,34.88,-19.88,-0.3106,-8.5396,9.1065,-2.426,42.1744,4.0696,1.7064,2
HoCl+2,NA,HoCl+2,aq,MWW09,NA,03.Jul.10,-193750,NA,-41.14,43.23,-20.88,-0.4456,-8.8692,9.2361,-2.4123,47.1123,5.7705,1.7113,2
ErCl+2,NA,ErCl+2,aq,MWW09,NA,03.Jul.10,-192230,NA,-41.84,29.13,-22.45,-0.6564,-9.384,9.4384,-2.3911,38.9461,2.8986,1.7219,2
TmCl+2,NA,TmCl+2,aq,MWW09,NA,03.Jul.10,-192250,NA,-42.84,14.93,-22.46,-0.652,-9.3733,9.4342,-2.3915,30.7668,0.0075,1.7371,2
YbCl+2,NA,YbCl+2,aq,MWW09,NA,03.Jul.10,-185320,NA,-38.84,-7.59,-24.13,-0.9035,-9.9872,9.6755,-2.3661,17.0158,-4.5799,1.6765,2
LuCl+2,NA,LuCl+2,aq,MWW09,NA,03.Jul.10,-191690,NA,-42.08,-32.19,-24.69,-0.9615,-10.129,9.7313,-2.3603,3.0453,-9.5913,1.7255,2
LaCl2+,NA,LaCl2+,aq,MWW09,NA,03.Jul.10,-227450,NA,-2.02,-8.19,6.83,2.9168,-0.6596,6.0093,-2.7517,6.6097,-4.7029,0.5747,1
CeCl2+,NA,CeCl2+,aq,MWW09,NA,03.Jul.10,-224990,NA,9.64,-54.21,-0.06,1.9073,-3.1244,6.9781,-2.6498,-21.9709,-14.0772,0.3982,1
PrCl2+,NA,PrCl2+,aq,MWW09,NA,03.Jul.10,-225970,NA,1.82,-22.59,2.42,2.2914,-2.1866,6.6095,-2.6886,-2.3592,-7.6362,0.5166,1
NdCl2+,NA,NdCl2+,aq,MWW09,NA,03.Jul.10,-224000,NA,-1.36,-34.48,1.21,2.144,-2.5465,6.7509,-2.6737,-8.8885,-10.0582,0.5647,1
SmCl2+,NA,SmCl2+,aq,MWW09,NA,03.Jul.10,-222430,NA,-3.21,-34.9,2.56,2.3393,-2.0696,6.5635,-2.6934,-8.8795,-10.1437,0.5927,1
EuCl2+,NA,EuCl2+,aq,MWW09,NA,03.Jul.10,-200660,NA,-10.02,-5.48,3.42,2.4959,-1.6871,6.4131,-2.7093,9.3035,-4.1509,0.6958,1
GdCl2+,NA,GdCl2+,aq,MWW09,NA,03.Jul.10,-221990,NA,-7.61,-2.41,4.53,2.634,-1.3499,6.2806,-2.7232,10.7695,-3.5255,0.6593,1
TbCl2+,NA,TbCl2+,aq,MWW09,NA,03.Jul.10,-222840,NA,-12.4,-2.81,4.75,2.6916,-1.2094,6.2254,-2.729,11.1974,-3.607,0.7319,1
DyCl2+,NA,DyCl2+,aq,MWW09,NA,03.Jul.10,-222050,NA,-17.33,16.06,4.14,2.6363,-1.3444,6.2785,-2.7234,22.9371,0.2368,0.8065,1
HoCl2+,NA,HoCl2+,aq,MWW09,NA,03.Jul.10,-224770,NA,-15.26,9.04,3.02,2.4712,-1.7476,6.4369,-2.7068,18.5365,-1.1932,0.7751,1
ErCl2+,NA,ErCl2+,aq,MWW09,NA,03.Jul.10,-223270,NA,-20.65,4.65,1.27,2.2626,-2.2569,6.6371,-2.6857,16.7094,-2.0874,0.8569,1
TmCl2+,NA,TmCl2+,aq,MWW09,NA,03.Jul.10,-223290,NA,-20.2,4.66,1.26,2.2586,-2.2666,6.6409,-2.6853,16.6521,-2.0854,0.85,1
YbCl2+,NA,YbCl2+,aq,MWW09,NA,03.Jul.10,-216360,NA,-19.22,-4.55,-0.6,1.9985,-2.9017,6.8906,-2.659,11.1191,-3.9614,0.8351,1
LuCl2+,NA,LuCl2+,aq,MWW09,NA,03.Jul.10,-222750,NA,-30.31,11.26,-1.23,1.9757,-2.9572,6.9124,-2.6567,21.9175,-0.7409,1.0031,1
arsenolite,NA,As2O3,cr,PGS+96,NA,25.Aug.06,-137640,-156930,25.67,23.15,51.12,20.9,17.73,-2.7,0,0,0,0,548
claudetite,NA,As2O3,cr,PGS+96,NA,25.Aug.06,-137730,-156600,27.09,23.19,47.26,23.86,10.74,-3.44,0,0,0,0,588
orpiment,NA,As2S3,cr,PGS+96,NA,25.Aug.06,-20550,-20700,39.1,27.53,70.5,22.73,13.82,0.605,0,0,0,0,580
arsenic,NA,As,cr,PGS+96,NA,25.Aug.06,0,0,8.39,5.89,12.96,5.23,2.22,0,0,0,0,0,1000
realgar,NA,AsS,cr,PGS+96,NA,25.Aug.06,-7930,-8380,14.67,11.37,29.8,12.94,-0.0133,1.396,0,0,0,0,540
alpha-GaOOH,NA,GaOOH,cr,BDP+97,NA,25.Aug.06,-150070,-168570,12.34,14.53,19.7,13,15.34,-2.7,0,0,0,0,1000
Y(OH)3,Na,Y(OH)3,cr,DRT98,NA,28.Aug.06,-319909.177820268,-351888.145315488,23.711759082218,NA,NA,41.7304732313575,3.02629063097514,2.4564350954326,0,0,-5720.83057528681,-1,1000
La(OH)3,Na,La(OH)3,cr,DRT98,NA,28.Aug.06,-306912.045889101,-338456.022944551,28.1572657743786,NA,NA,41.7304732313575,2.7093690248566,1.9034312102653,0,0,-4958.4148293499,-1,1000
Pr(OH)3,Na,Pr(OH)3,cr,DRT98,NA,28.Aug.06,-306142.447418738,-337906.309751434,31.4770554493308,NA,NA,41.7304732313575,2.31285850860421,2.05222955866635,0,0,-4947.14760157744,-1,1000
Nd(OH)3,Na,Nd(OH)3,cr,DRT98,NA,28.Aug.06,-306644.359464627,-338336.520076482,31.0396749521989,NA,NA,41.7304732313575,2.58747609942639,2.35070259540631,0,0,-5076.92937332696,-1,1000
Eu(OH)3,Na,Eu(OH)3,cr,DRT98,NA,28.Aug.06,-282170.17208413,-315272.466539197,28.6520076481836,NA,NA,41.7304732313575,6.51816443594646,1.89251451846797,0,0,-4913.34591826004,-1,1000
Gd(OH)3,Na,Gd(OH)3,cr,DRT98,NA,28.Aug.06,-305019.120458891,-336735.181644359,30.2652963671128,NA,NA,41.7304732313575,3.42758126195029,2.31271117257648,0,0,-5479.21113527725,-1,1000
Tb(OH)3,Na,Tb(OH)3,cr,DRT98,NA,28.Aug.06,-306190.248565966,-338934.034416826,30.6811663479924,NA,NA,41.7304732313575,2.93690248565966,2.71791406765296,0,0,-5487.55722992352,-1,1000
Ho(OH)3,Na,Ho(OH)3,cr,DRT98,NA,28.Aug.06,-310086.04206501,-342041.108986616,31.0803059273423,NA,NA,41.7304732313575,5.0901051625239,2.7441291509369,0,0,-5631.5273625717,-1,1000
GeO2(hex),NA,GeO2,cr,PS98,NA,25.Aug.06,-119700,-132600,13.21,12.45,24.44,14.623,3.296,-2.805,0,0,0,0,1000
GeO2(tetr),NA,GeO2,cr,PS98,NA,25.Aug.06,-124600,-138700,9.49,11.99,17.42,16.457,2.178,-4.549,0,0,0,0,1000
ilmenite,NA,FeTiO3,cr,Ste01,NA,31.Aug.06,-276171.128107075,-294455.066921606,26.027724665392,23.78,31.69,62.7868068833652,-19.118068833652,0.914674952198853,-606.5965583174,0.809751434034417,0,0,1000
ulvospinel,NA,Fe2TiO4,cr,Ste01,NA,31.Aug.06,-334584.13001912,-357026.768642447,43.1166347992352,NA,46.82,-24.5219885277247,34.0583173996176,-21.8570745697897,1259.79923518164,0,0,0,1000
fluorapatite,NA,Ca5(PO4)3F,cr,Ste01,NA,31.Aug.06,-1551075.52581262,-1642447.41873805,92.7103250478011,89.85,157.56,180.282026768642,-7.23231357552581,-2.17112810707457,-1482.07456978967,0,0,0,1000
hydroxyapatite,NA,Ca5(PO4)3OH,cr,Ste01,NA,31.Aug.06,-1514603.25047801,-1610540.15296367,93.3078393881453,92.04,159.6,92.6864244741874,28.3460803059273,-30.3537284894837,432.839388145315,0,0,0,1000
ice,"ice Ih",H2O,cr1,MVT01,NA,31.Aug.06,-56546.6061185468,-69967.9732313576,10.7005258126195,10.0401529636711,19.228,0.318833652007648,32.5047801147228,0,0,0,0,0,1000
ice,"ice II",H2O,cr2,MVT01,NA,31.Aug.06,-56299.4741873805,-69967.017208413,9.87523900573614,10.0506692160612,15.301,0.178537284894837,33.2217973231358,0,0,0,0,0,1000
ice,"ice III",H2O,cr3,MVT01,NA,31.Aug.06,-56432.8393881453,-69554.7323135755,11.7043499043977,7.43379541108987,16.484,32.3977055449331,-83.6520076481836,0,0,0,0,0,1000
ice,"ice V",H2O,cr5,MVT01,NA,31.Aug.06,-56347.7533460803,-69494.9808795411,11.6192638623327,7.42901529636711,15.488,32.3977055449331,-83.6520076481836,0,0,0,0,0,1000
ice,"ice VI",H2O,cr6,MVT01,NA,31.Aug.06,-56239.9617590822,-69423.2791586998,11.4985659655832,7.40846080305927,14.77,32.4789674952199,-84.1300191204589,0,0,0,0,0,1000
ice,"ice VII",H2O,cr7,MVT01,NA,31.Aug.06,-55703.154875717,-68981.8355640535,11.1782982791587,9.68522944550669,13.915,52.5982313575526,-143.881453154876,0,0,0,0,0,1000
ice,"ice VIII",H2O,cr8,MVT01,NA,31.Aug.06,-55684.034416826,-69241.395793499,10.2442638623327,9.68522944550669,13.914,52.5982313575526,-143.881453154876,0,0,0,0,0,1000
ice,"ice IX",H2O,cr9,MVT01,NA,31.Aug.06,-56312.8585086042,-69719.8852772466,10.748326959847,7.43379541108987,16.474,32.3977055449331,-83.6520076481836,0,0,0,0,0,1000
valentinite,NA,Sb2O3,cr,ZSA03,NA,28.Aug.06,-149600,-169300,29.43,24.29,50.01,24.841,10.2,-3.197,0,0,0,0,928
senarmontite,NA,Sb2O3,cr,ZSA03,NA,28.Aug.06,-151400,-171700,27.37,22.54,52.21,22.525,12.028,-3.179,0,0,0,0,879
stibnite,NA,Sb2S3,cr,ZSA03,NA,28.Aug.06,-35846,-36174,43.5,28.6,73.414,28.8549,3.73,-1.27,0,0,0,0,829
acantite,a-Ag2S,Ag2S,cr,TBZ+06,NA,28.Aug.06,-9488,-7648,34.1539196940727,17.9995219885277,NA,17.9995219885277,0,0,0,0,0,0,451
uytenbogaardtite,a-Ag3AuS2,Ag3AuS2,cr,TBZ+06,NA,28.Aug.06,-16585,-14149,65.3441682600382,36.5583173996176,NA,36.5583173996176,0,0,0,0,0,0,456
petrovskaite,a-AgAuS,AgAuS,cr,TBZ+06,NA,28.Aug.06,-6592,-6166,30.6166347992352,17.296845124283,NA,17.296845124283,0,0,0,0,0,0,580
Au2S,NA,Au2S,cr,TBZ+06,NA,28.Aug.06,4639,5509,33.274378585086,19.9665391969407,NA,19.2901529636711,6.90965583173996,-1.23086759082218,0,0,0,0,1000
arsenopyrite,NA,FeAsS,cr,PPB+08,NA,15.Aug.08,-32612,-34503,16.37,16.36,26.27,18.05,1.14,-1.8,0,0,0,0,900
loellingite,NA,FeAs2,cr,PPB+08,NA,15.Aug.08,-19175,-20500,19.14,16.93,27.44,18.33,0.74,-1.44,0,0,0,0,1300
